Course,Previous qualification,Previous qualification (grade),Nationality,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (grade),Curricular units 2nd sem (grade),Unemployment rate,Inflation rate,GDP,Target
171,1,122,1,127.3,1,0,0,1,1,0,20,0,0,0,10.8,1.4,1.74,Dropout
9254,1,160,1,142.5,1,0,0,0,1,0,19,0,14,13.66666667,13.9,-0.3,0.79,Graduate
9070,1,122,1,124.8,1,0,0,0,1,0,19,0,0,0,10.8,1.4,1.74,Dropout
9773,1,122,1,119.6,1,0,0,1,0,0,20,0,13.42857143,12.4,9.4,-0.8,-3.12,Graduate
8014,1,100,1,141.5,0,0,0,1,0,0,45,0,12.33333333,13,13.9,-0.3,0.79,Graduate
9991,19,133.1,1,114.8,0,0,1,1,1,0,50,0,11.85714286,11.5,16.2,0.3,-0.92,Graduate
9500,1,142,1,128.4,1,0,0,1,0,1,18,0,13.3,14.345,15.5,2.8,-4.06,Graduate
9254,1,119,1,113.1,1,0,0,0,1,0,22,0,0,0,15.5,2.8,-4.06,Dropout
9238,1,137,62,129.3,0,0,0,1,0,1,21,1,13.875,14.14285714,16.2,0.3,-0.92,Graduate
9238,1,138,1,123,1,0,1,0,0,0,18,0,11.4,13.5,8.9,1.4,3.51,Dropout
9670,1,139,1,130.6,1,0,0,1,0,0,18,0,12.33333333,14.2,13.9,-0.3,0.79,Graduate
9500,1,136,1,119.3,1,0,0,1,0,1,18,0,13.21428571,13.21428571,12.7,3.7,-1.7,Graduate
9853,1,133,1,130.2,1,0,0,1,0,0,19,0,0,0,12.7,3.7,-1.7,Dropout
9254,42,110,1,111.8,1,0,0,1,0,1,21,0,10.57142857,11,8.9,1.4,3.51,Graduate
9085,1,149,1,137.1,1,0,0,1,0,1,18,0,13.25,12,10.8,1.4,1.74,Graduate
9773,1,127,1,120.7,1,0,0,1,0,0,20,0,13.2,0,15.5,2.8,-4.06,Dropout
9238,1,137,1,137.4,1,0,0,1,0,0,18,0,12,11,10.8,1.4,1.74,Enrolled
9500,1,135,1,127.3,1,0,0,1,0,0,18,0,13.30625,14.545,15.5,2.8,-4.06,Graduate
9130,1,137,1,136.3,1,0,0,1,0,0,20,0,12.5,12.25,10.8,1.4,1.74,Graduate
9853,1,140,1,124.6,1,0,0,1,0,0,18,0,11.66666667,13.5,16.2,0.3,-0.92,Enrolled
171,1,122,1,120.3,0,0,0,1,0,1,21,0,0,0,11.1,0.6,2.02,Graduate
9556,1,127,1,121.8,1,0,0,1,0,0,20,0,11.4375,11.425,12.7,3.7,-1.7,Enrolled
9500,1,142,1,125.5,1,0,0,1,0,0,18,0,12.85714286,12.85714286,12.7,3.7,-1.7,Graduate
9670,1,125,1,114.9,1,0,0,1,0,1,19,0,13.375,12.28571429,11.1,0.6,2.02,Graduate
9500,1,126,1,123.9,0,0,0,1,0,0,19,0,13.29666667,14.11428571,11.1,0.6,2.02,Graduate
9238,1,151,1,157,1,0,1,1,0,1,18,0,11.6,11,7.6,2.6,0.32,Enrolled
9238,1,115,1,116.4,1,0,0,1,0,0,21,0,11.375,13.28571429,16.2,0.3,-0.92,Graduate
9085,1,138,1,131,1,0,0,1,0,0,18,0,12.66666667,13,9.4,-0.8,-3.12,Enrolled
9147,1,135,1,122.1,1,0,0,1,0,0,20,0,12,12.33333333,16.2,0.3,-0.92,Graduate
9500,1,127,1,118.8,1,0,0,1,1,0,19,0,12.93333333,13.71666667,16.2,0.3,-0.92,Enrolled
9003,39,150,1,150,0,0,0,1,1,0,21,0,11.85714286,10.57142857,16.2,0.3,-0.92,Enrolled
9070,1,125,1,130,1,0,0,1,1,0,20,0,12.83333333,13.4,8.9,1.4,3.51,Graduate
9147,1,143,1,138.8,0,0,0,0,1,0,18,0,11.33333333,13.5,8.9,1.4,3.51,Enrolled
