Course,Previous qualification,Previous qualification (grade),Nationality,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship,Age at enrollment,International,Curricular units 1st sem (grade),Curricular units 2nd sem (grade),Unemployment rate,Inflation rate,GDP,Target
171,1,122,Portugal,127.3,1,0,0,1,1,0,20,0,0,0,10.8,1.4,1.74,Dropout
9254,1,160,Portugal,142.5,1,0,0,0,1,0,19,0,14,13.66666667,13.9,-0.3,0.79,Graduate
9070,1,122,Portugal,124.8,1,0,0,0,1,0,19,0,0,0,10.8,1.4,1.74,Dropout
9773,1,122,Portugal,119.6,1,0,0,1,0,0,20,0,13.42857143,12.4,9.4,-0.8,-3.12,Graduate
8014,1,100,Portugal,141.5,0,0,0,1,0,0,45,0,12.33333333,13,13.9,-0.3,0.79,Graduate
9991,19,133.1,Portugal,114.8,0,0,1,1,1,0,50,0,11.85714286,11.5,16.2,0.3,-0.92,Graduate
9500,1,142,Portugal,128.4,1,0,0,1,0,1,18,0,13.3,14.345,15.5,2.8,-4.06,Graduate
9254,1,119,Portugal,113.1,1,0,0,0,1,0,22,0,0,0,15.5,2.8,-4.06,Dropout
9238,1,137,Romania,129.3,0,0,0,1,0,1,21,1,13.875,14.14285714,16.2,0.3,-0.92,Graduate
9238,1,138,Portugal,123,1,0,1,0,0,0,18,0,11.4,13.5,8.9,1.4,3.51,Dropout
9670,1,139,Portugal,130.6,1,0,0,1,0,0,18,0,12.33333333,14.2,13.9,-0.3,0.79,Graduate
9500,1,136,Portugal,119.3,1,0,0,1,0,1,18,0,13.21428571,13.21428571,12.7,3.7,-1.7,Graduate
9853,1,133,Portugal,130.2,1,0,0,1,0,0,19,0,0,0,12.7,3.7,-1.7,Dropout
9254,42,110,Portugal,111.8,1,0,0,1,0,1,21,0,10.57142857,11,8.9,1.4,3.51,Graduate
9085,1,149,Portugal,137.1,1,0,0,1,0,1,18,0,13.25,12,10.8,1.4,1.74,Graduate
9773,1,127,Portugal,120.7,1,0,0,1,0,0,20,0,13.2,0,15.5,2.8,-4.06,Dropout
9238,1,137,Portugal,137.4,1,0,0,1,0,0,18,0,12,11,10.8,1.4,1.74,Enrolled
9500,1,135,Portugal,127.3,1,0,0,1,0,0,18,0,13.30625,14.545,15.5,2.8,-4.06,Graduate
9130,1,137,Portugal,136.3,1,0,0,1,0,0,20,0,12.5,12.25,10.8,1.4,1.74,Graduate
9853,1,140,Portugal,124.6,1,0,0,1,0,0,18,0,11.66666667,13.5,16.2,0.3,-0.92,Enrolled
